Rider_Shift_ID,Store_ID,Shift_Date,Logged_Hours,Rider_ID,Delivered_Orders,Active_Delivery_Minutes,Round_Trip_Busy_Minutes,Rider_Cost_INR,Rider_Utilization,Orders_Per_Logged_Hour
SH00000032,DS001,2026-07-01,9.0,R_DS001_001,35.0,222.24327870000005,337.4182787,1225.0,0.41156162722222234,3.888888888888889
SH00000033,DS001,2026-07-01,9.0,R_DS001_002,43.0,277.3883252,422.73832519999985,1550.0,0.5136820837037037,4.777777777777778
SH00000034,DS001,2026-07-01,9.0,R_DS001_004,35.0,207.25983471666666,309.1848347166666,1225.0,0.3838145087345679,3.888888888888889
SH00000035,DS001,2026-07-01,9.0,R_DS001_006,42.0,287.66229465,441.31229465,1560.0,0.5327079530555555,4.666666666666667
SH00000036,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000037,DS001,2026-07-01,9.0,R_DS001_008,42.0,268.93141698333335,406.7814169833333,1520.0,0.4980211425617284,4.666666666666667
SH00000038,DS001,2026-07-01,8.833333333333334,R_DS001_009,43.0,294.2712513166667,443.62125130000004,1600.0,0.5552287760691824,4.867924528301886
SH00000039,DS001,2026-07-01,9.0,R_DS001_011,45.0,270.1081484166667,415.8331484166667,1635.0,0.5002002748456791,5.0
SH00000040,DS001,2026-07-01,9.0,R_DS001_012,42.0,283.61776198333337,428.06061911666666,1575.0,0.5252180777469136,4.666666666666667
SH00000041,DS001,2026-07-01,8.666666666666666,R_DS001_014,39.0,265.1880317166667,403.03803171666675,1415.0,0.509976984070513,4.5
SH00000042,DS001,2026-07-01,9.0,R_DS001_015,41.0,268.74404585,421.3619029999999,1545.0,0.49767415898148154,4.555555555555555
SH00000043,DS001,2026-07-01,9.0,R_DS001_016,30.0,183.35079321666663,278.1007932166667,1050.0,0.3395385059567901,3.3333333333333335
SH00000044,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000045,DS001,2026-07-01,9.0,R_DS001_019,27.0,160.0678877833333,241.39288778333338,945.0,0.2964220144135802,3.0
SH00000046,DS001,2026-07-01,9.0,R_DS001_020,42.0,272.2154205833333,415.46542058333347,1525.0,0.5041026307098765,4.666666666666667
SH00000047,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000048,DS001,2026-07-01,9.0,R_DS001_022,21.0,134.72665553333331,203.30165553333336,735.0,0.24949380654320985,2.3333333333333335
SH00000049,DS001,2026-07-01,9.0,R_DS001_023,40.0,258.27687161666665,397.5018716166667,1450.0,0.47829050299382714,4.444444444444445
SH00000050,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000051,DS001,2026-07-01,9.0,R_DS001_026,41.0,247.0140628,381.8640628,1485.0,0.4574334496296296,4.555555555555555
SH00000052,DS001,2026-07-01,9.0,R_DS001_027,42.0,263.2221098833333,407.8292527333333,1580.0,0.4874483516358024,4.666666666666667
SH00000053,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000054,DS001,2026-07-01,9.0,R_DS001_030,39.0,259.2907905999999,392.63721916666685,1485.0,0.4801681307407406,4.333333333333333
SH00000055,DS001,2026-07-01,9.0,R_DS001_032,38.0,238.4145018166667,362.6645018166667,1380.0,0.4415083366975309,4.222222222222222
SH00000056,DS001,2026-07-01,9.0,R_DS001_033,37.0,244.8682886166667,375.3432886166667,1410.0,0.45345979373456796,4.111111111111111
SH00000057,DS001,2026-07-01,9.0,R_DS001_035,36.0,226.46525466666674,345.6402546666666,1305.0,0.41938010123456804,4.0
SH00000058,DS001,2026-07-01,9.0,R_DS001_036,36.0,244.9271192,368.67711920000005,1370.0,0.4535687392592592,4.0
SH00000059,DS001,2026-07-01,9.0,R_DS001_037,18.0,112.45048518333334,168.40048518333336,630.0,0.2082416392283951,2.0
SH00000060,DS001,2026-07-01,8.65,R_DS001_039,35.0,241.05891346666667,370.0839134666667,1340.0,0.4644680413615928,4.0462427745664735
SH00000061,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000062,DS001,2026-07-01,9.0,R_DS001_043,16.0,107.13735513333334,161.91235513333336,560.0,0.19840250950617286,1.7777777777777777
SH00000063,DS001,2026-07-01,9.0,R_DS001_044,36.0,243.66667528333332,368.1166752833334,1320.0,0.4512345838580247,4.0
SH00000064,DS001,2026-07-01,9.0,R_DS001_047,34.0,229.03018103333338,350.3051810333334,1235.0,0.4241299648765433,3.7777777777777777
SH00000065,DS001,2026-07-01,9.0,R_DS001_048,36.0,225.8977409,345.5727409,1385.0,0.41832914981481484,4.0
SH00000066,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000067,DS001,2026-07-01,8.533333333333333,R_DS001_050,30.0,211.3943088666667,318.6693088666666,1095.0,0.4128795095052084,3.515625
SH00000068,DS001,2026-07-01,9.0,R_DS001_051,36.0,227.06420868333333,348.0392086833334,1385.0,0.4204892753395062,4.0
SH00000069,DS001,2026-07-01,9.0,R_DS001_053,33.0,204.70724836666665,318.93224836666667,1205.0,0.3790874969753086,3.6666666666666665
SH00000070,DS001,2026-07-01,9.0,R_DS001_054,34.0,223.5963941666667,338.57139416666666,1310.0,0.41406739660493835,3.7777777777777777
SH00000071,DS001,2026-07-01,9.0,R_DS001_055,11.0,72.47927318333333,113.10427318333335,385.0,0.1342208762654321,1.2222222222222223
SH00000072,DS001,2026-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SH00000073,DS001,2026-07-01,9.0,R_DS001_057,33.0,232.80747223333336,352.5074722333333,1270.0,0.43112494858024697,3.6666666666666665
SH00000074,DS001,2026-07-01,8.4,R_DS001_058,9.0,67.0349358,100.50993580000001,315.0,0.133005825,1.0714285714285714
SH00000075,DS001,2026-07-01,9.0,R_DS001_060,36.0,224.59153101666658,344.54153101666657,1385.0,0.4159102426234566,4.0
SH00000076,DS001,2026-07-01,9.0,R_DS001_063,38.0,221.95920223333337,337.75920223333327,1470.0,0.4110355596913581,4.222222222222222
SH00000077,DS001,2026-07-01,9.0,R_DS001_064,10.0,62.58877463333333,93.58877463333334,350.0,0.11590513820987654,1.1111111111111112
SH00000078,DS001,2026-07-01,9.0,R_DS001_065,32.0,208.1268362166667,316.52683621666665,1165.0,0.38542006706790133,3.5555555555555554
SH00000079,DS001,2026-07-01,9.0,R_DS001_067,5.0,36.85972961666666,57.18472961666666,175.0,0.06825875854938271,0.5555555555555556
SH00000080,DS001,2026-07-01,9.0,R_DS001_068,29.0,192.70714013333333,288.9571401333334,1070.0,0.35686507432098763,3.2222222222222223
SH00000081,DS001,2026-07-01,9.0,R_DS001_069,32.0,219.9551481666667,337.05514816666675,1235.0,0.40732434845679016,3.5555555555555554
SH00000082,DS001,2026-07-01,9.0,R_DS001_070,5.0,35.5741434,55.824143400000004,175.0,0.06587804333333333,0.5555555555555556
SH00000083,DS001,2026-07-01,9.0,R_DS001_072,32.0,220.6661763333334,336.9661763333333,1235.0,0.4086410672839507,3.5555555555555554
