Store_Date_Interval_ID,Store_Date_ID,Store_ID,Date,Interval_ID,Start_Time,End_Time,Daypart,Weekend_Flag,Default_Peak_Flag,Demand_Probability,Actual_Orders,Demand_Share
DS001_20260701_I01,DS001_20260701,DS001,2026-07-01,1,00:00:00,00:30:00,Night,False,False,0.003241357576247432,9,0.003537735849056604
DS001_20260701_I02,DS001_20260701,DS001,2026-07-01,2,00:30:00,01:00:00,Night,False,False,0.0032413576735649133,4,0.0015723270440251573
DS001_20260701_I03,DS001_20260701,DS001,2026-07-01,3,01:00:00,01:30:00,Night,False,False,0.0032413586227009973,3,0.0011792452830188679
DS001_20260701_I04,DS001_20260701,DS001,2026-07-01,4,01:30:00,02:00:00,Night,False,False,0.0032413665848505142,11,0.004323899371069182
DS001_20260701_I05,DS001_20260701,DS001,2026-07-01,5,02:00:00,02:30:00,Night,False,False,0.0032414240038099685,9,0.003537735849056604
DS001_20260701_I06,DS001_20260701,DS001,2026-07-01,6,02:30:00,03:00:00,Night,False,False,0.0032417797187373858,6,0.0023584905660377358
DS001_20260701_I07,DS001_20260701,DS001,2026-07-01,7,03:00:00,03:30:00,Night,False,False,0.003243671142756253,10,0.003930817610062893
DS001_20260701_I08,DS001_20260701,DS001,2026-07-01,8,03:30:00,04:00:00,Night,False,False,0.0032522934686824924,6,0.0023584905660377358
DS001_20260701_I09,DS001_20260701,DS001,2026-07-01,9,04:00:00,04:30:00,Night,False,False,0.003285941846515178,8,0.0031446540880503146
DS001_20260701_I10,DS001_20260701,DS001,2026-07-01,10,04:30:00,05:00:00,Night,False,False,0.0033981287978847624,8,0.0031446540880503146
DS001_20260701_I11,DS001_20260701,DS001,2026-07-01,11,05:00:00,05:30:00,Night,False,False,0.003716814411101898,15,0.00589622641509434
DS001_20260701_I12,DS001_20260701,DS001,2026-07-01,12,05:30:00,06:00:00,Night,False,False,0.0044850763169686225,16,0.006289308176100629
DS001_20260701_I13,DS001_20260701,DS001,2026-07-01,13,06:00:00,06:30:00,Morning,False,False,0.00604753188040632,13,0.005110062893081761
DS001_20260701_I14,DS001_20260701,DS001,2026-07-01,14,06:30:00,07:00:00,Morning,False,False,0.00870303534898466,19,0.007468553459119497
DS001_20260701_I15,DS001_20260701,DS001,2026-07-01,15,07:00:00,07:30:00,Morning,False,False,0.01241313755240679,26,0.010220125786163521
DS001_20260701_I16,DS001_20260701,DS001,2026-07-01,16,07:30:00,08:00:00,Morning,False,False,0.016538472406030257,40,0.015723270440251572
DS001_20260701_I17,DS001_20260701,DS001,2026-07-01,17,08:00:00,08:30:00,Morning,False,False,0.019912238155499876,37,0.014544025157232705
DS001_20260701_I18,DS001_20260701,DS001,2026-07-01,18,08:30:00,09:00:00,Morning,False,False,0.021401492710800586,49,0.019261006289308175
DS001_20260701_I19,DS001_20260701,DS001,2026-07-01,19,09:00:00,09:30:00,Morning,False,False,0.020668720853689874,52,0.020440251572327043
DS001_20260701_I20,DS001_20260701,DS001,2026-07-01,20,09:30:00,10:00:00,Morning,False,False,0.01855876085422221,49,0.019261006289308175
DS001_20260701_I21,DS001_20260701,DS001,2026-07-01,21,10:00:00,10:30:00,Morning,False,False,0.01677860079437095,40,0.015723270440251572
